title_orig,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,origin_country,merchant_title,merchant_rating_count,merchant_rating,merchant_has_profile_picture,num_listings,tag_list
Women's Fashion Summer Loose Sleeveless Pockets Solid Color Maxi Dress Casual Dress Plus Size,5.79,5,1000,0,3.46,613,245.0,101.0,101.0,61.0,125.0,0,0,0,0,"Summer,Plus Size,long dress,plus size dress,Dress,Women's Fashion,maxi dress,Casual,beach dress,Sleeveless dress,summer dresses,women dress,Fashion,loose dress,sleeveless",grey,XXS,2,2,0,25,50,1,CN,mayuhiao,9470,3.9568109820485744,0,4,"['Summer', 'Plus Size', 'long dress', 'plus size dress', 'Dress', ""Women's Fashion"", 'maxi dress', 'Casual', 'beach dress', 'Sleeveless dress', 'summer dresses', 'women dress', 'Fashion', 'loose dress', 'sleeveless']"
Summer Sexy Women Fashion Casual Loose Tops Casual T-Shirt Summer V-Neck Solid Color Plus Size Short Sleeve Blouse,6.0,8,100,1,3.31,13,3.0,4.0,4.0,0.0,3.0,0,0,0,0,"Summer,Plus Size,Cotton T Shirt,womens shirt,summer t-shirts,short sleeves,V-neck,T Shirts,Fashion,sexy,Casual,Women,blouse,Shorts,Sleeve,Pure Color,Women's Fashion,Pullovers,Tops",lightblue,XS,2,2,0,40,50,1,CN,lanniesdesign,3515,3.983783783783784,0,2,"['Summer', 'Plus Size', 'Cotton T Shirt', 'womens shirt', 'summer t-shirts', 'short sleeves', 'V-neck', 'T Shirts', 'Fashion', 'sexy', 'Casual', 'Women', 'blouse', 'Shorts', 'Sleeve', 'Pure Color', ""Women's Fashion"", 'Pullovers', 'Tops']"
New Women's Summer Causal Shorts Drawstring Short Pants Loose Short Pants,1.91,6,1000,1,3.45,141,49.0,29.0,29.0,14.0,25.0,0,0,0,0,"Summer,Women,Shorts,pants,Loose,Short pants,drawstring,Causal",orange,XS,1,1,0,38,50,0,CN,easymarket,557,4.123877917414721,0,1,"['Summer', 'Women', 'Shorts', 'pants', 'Loose', 'Short pants', 'drawstring', 'Causal']"
Women Fashion Sleeveless Deep Neck Cross Spaghetti Strap Solid Color Tank Top Loose Blouse Beach Vest Top and Blouse Summer Casual T-shirts Plus Size,5.79,42,1000,0,3.32,121,36.0,24.0,24.0,19.0,19.0,0,0,0,0,"Summer,Vest,summer t-shirts,looseblouse,Cross,tank top,Spaghetti Strap,Sleeveless Shirt,Plus Size,topandblouse,deepneck,Spaghetti,Casual,Women Fashion,Women,blouse,Tank,Necks,Beach,Tops,beachvest,Women's Fashion,T Shirts,Fashion,sleeveless",red,S,50,2,0,43,50,0,CN,Molesfashion,5083,3.9474719653747785,0,4,"['Summer', 'Vest', 'summer t-shirts', 'looseblouse', 'Cross', 'tank top', 'Spaghetti Strap', 'Sleeveless Shirt', 'Plus Size', 'topandblouse', 'deepneck', 'Spaghetti', 'Casual', 'Women Fashion', 'Women', 'blouse', 'Tank', 'Necks', 'Beach', 'Tops', 'beachvest', ""Women's Fashion"", 'T Shirts', 'Fashion', 'sleeveless']"
2019 Summer Women's Fashion New Sleeveless Polka Dot V-neck Strap Mini Backless Casual Top Dresses,2.0,2,20000,1,3.65,2457,984.0,481.0,481.0,206.0,327.0,0,0,0,0,"Summer,Fashion,Mini,Dress,Loose,Polkas,V-neck,Tops,Women's Fashion,black,polka dot,sleeveless,backless,Casual,Women Fashion",yellow,S,1,1,0,36,50,0,CN,Pentiumhorse,55499,4.138885385322259,0,7,"['Summer', 'Fashion', 'Mini', 'Dress', 'Loose', 'Polkas', 'V-neck', 'Tops', ""Women's Fashion"", 'black', 'polka dot', 'sleeveless', 'backless', 'Casual', 'Women Fashion']"
Summer Fashion Flare Sleeve Plus Size T-shirt Off The Shoulder Cute Solid Color Top Long Sleeve Shirt,11.0,81,1000,0,3.92,426,204.0,94.0,94.0,21.0,45.0,0,0,0,0,"Summer,Plus Size,Shirt,Sleeve,cute,Long Sleeve,flare,Tops,topsamptshirt,Women's Fashion,Clothes for women,cuteshirt,Fashion,long sleeve t shirt,solidcolorshirt,Summer Fashion,loose t-shirt,T Shirts",Black,S,50,3,0,41,50,0,CN,Petha's boutique,39381,4.0663264010563465,0,5,"['Summer', 'Plus Size', 'Shirt', 'Sleeve', 'cute', 'Long Sleeve', 'flare', 'Tops', 'topsamptshirt', ""Women's Fashion"", 'Clothes for women', 'cuteshirt', 'Fashion', 'long sleeve t shirt', 'solidcolorshirt', 'Summer Fashion', 'loose t-shirt', 'T Shirts']"
New Summer Women's Fashion Sleeveless Polka Dot V-neck Dress Strap Mini Backless Party Dress Casual Top Dresses,11.0,10,10000,0,3.72,2058,840.0,435.0,435.0,158.0,239.0,0,0,0,0,"Summer,fashion women,Fashion,Mini,Dresses,Tops,Polkas,V-neck,Mini dress,Women's Fashion,Party Dress,backless,party,Sexy Dress,Dress,sleeveless,polka dot,Casual,casual dress",red,L,50,2,0,34,50,0,CN,2312hangm,6302,3.9584258965407813,0,1,"['Summer', 'fashion women', 'Fashion', 'Mini', 'Dresses', 'Tops', 'Polkas', 'V-neck', 'Mini dress', ""Women's Fashion"", 'Party Dress', 'backless', 'party', 'Sexy Dress', 'Dress', 'sleeveless', 'polka dot', 'Casual', 'casual dress']"
2018 New Fashion Women's Tops Sexy Strappy Sleeveless Lace Crop Tops,5.0,25,100000,1,3.83,17980,8290.0,3483.0,3483.0,1410.0,1846.0,0,0,0,0,"blouse,Plus Size,Lace,lace top,Tops,Fashion,strappy,sexy,sleeveless,summer tops,Women Fashion",white,S,50,1,0,41,50,1,CN,leiston,139223,3.933581376640354,0,5,"['blouse', 'Plus Size', 'Lace', 'lace top', 'Tops', 'Fashion', 'strappy', 'sexy', 'sleeveless', 'summer tops', 'Women Fashion']"
5 Color Plus Size Summer New Women Fashion Ladies Casual Sleeveless Tops Summer Sexy Cutout Back Open Double Layer Tank Top(S-5XL),9.0,9,20000,0,3.82,5479,2456.0,1162.0,1162.0,431.0,577.0,0,0,0,0,"Summer,Fashion,tunic,Women Vest,Tank,Tops,topsamptshirt,tank top,doublelayer,Women's Fashion,backless,sexy,Ladies,sleeveless,Casual,Women",blue,S,50,3,0,43,50,0,CN,centper3,22089,4.081624337905745,0,1,"['Summer', 'Fashion', 'tunic', 'Women Vest', 'Tank', 'Tops', 'topsamptshirt', 'tank top', 'doublelayer', ""Women's Fashion"", 'backless', 'sexy', 'Ladies', 'sleeveless', 'Casual', 'Women']"
S~5XL Zipper Vest Tee New V-neck Sleeveless Plus Size Slim Fit Tank Tops Summer Solid Color Casual Tops Blouses,7.0,7,1000,0,3.67,214,87.0,36.0,36.0,17.0,25.0,0,0,0,0,"blouse,Summer,Vest,Plus Size,Tank,zippers,Tops,Slim Fit,tank top,Women's Fashion,V-neck,topsampblouse,sleeveless,women top,slim,Casual",red,S,7,2,0,41,50,1,CN,chenqinq,3592,4.062360801781737,0,3,"['blouse', 'Summer', 'Vest', 'Plus Size', 'Tank', 'zippers', 'Tops', 'Slim Fit', 'tank top', ""Women's Fashion"", 'V-neck', 'topsampblouse', 'sleeveless', 'women top', 'slim', 'Casual']"
Top Swimsuit Sets Fashion Swimwear Women Bikini 2016 Sexy Padded,11.0,10,5000,0,3.84,1183,506.0,274.0,274.0,81.0,106.0,0,0,0,0,"Fashion,Floral print,Tops,sexy bikini,Swimwear,Swimsuit,padded,Bikini,sexy,Women,Women's Fashion,Swimming",green,S,50,3,0,69,50,0,CN,uranus,23609,4.256597060443052,0,1,"['Fashion', 'Floral print', 'Tops', 'sexy bikini', 'Swimwear', 'Swimsuit', 'padded', 'Bikini', 'sexy', 'Women', ""Women's Fashion"", 'Swimming']"
Summer Women Fashion Vest Solid Color Women Sleeveless Cotton T-shirt Lace Up Hollow Sexy Slim Tank Tops Tee,5.0,6,20000,0,3.6,3552,1437.0,632.0,632.0,358.0,515.0,0,0,0,0,"Summer,Vest,Fashion,Tank,Lace,Tops,slim,Women's Fashion,tank top,T Shirts,Lace Up,topsamptee,sexy,sleeveless,Women,Women Fashion,Cotton",black,S,11,2,0,41,50,0,CN,Oucho co. ltd.,12913,3.981336637497096,1,4,"['Summer', 'Vest', 'Fashion', 'Tank', 'Lace', 'Tops', 'slim', ""Women's Fashion"", 'tank top', 'T Shirts', 'Lace Up', 'topsamptee', 'sexy', 'sleeveless', 'Women', 'Women Fashion', 'Cotton']"
Dew Design Women Summer Fashion Sexy V-Neck Vest Button Spaghetti Strap Tank Top Cotton Sleeveless Tank Top Solid Color Camisole Casual Loose Tops Holiday Beach Wear Plus Size S-5XL 5 Colors,11.0,26,1000,0,3.38,72,27.0,11.0,11.0,8.0,15.0,0,0,0,0,"Women Vest,Vest,Fashion,buttontop,camisole,Summer,Spaghetti Strap,tank top,Women's Fashion,Plus Size,Design,V-neck,sleeveless,sexy,Spaghetti,summer tops,Cotton,Tank,Tops,Casual,Cotton Vest,Women,sleevelesstshirt,Casual Tops,Holiday,Beach,button",armygreen,S,2,2,0,51,50,0,CN,huaxianglarou,4516,4.231842338352524,0,3,"['Women Vest', 'Vest', 'Fashion', 'buttontop', 'camisole', 'Summer', 'Spaghetti Strap', 'tank top', ""Women's Fashion"", 'Plus Size', 'Design', 'V-neck', 'sleeveless', 'sexy', 'Spaghetti', 'summer tops', 'Cotton', 'Tank', 'Tops', 'Casual', 'Cotton Vest', 'Women', 'sleevelesstshirt', 'Casual Tops', 'Holiday', 'Beach', 'button']"
Summer Fashion Women Short Sleeve U-neck Slim T-shirt Casual Style Cotton Pullover Women Fashion Tee Plus Size Blouse Tops Tee,7.0,6,5000,1,3.67,510,213.0,98.0,98.0,45.0,69.0,0,0,0,0,"blouse,Summer,Shorts,Sleeve,fashiontee,Tops,slim,short sleeves,Pullovers,Women's Fashion,Plus Size,Summer Fashion,Cotton,Fashion,Casual,T Shirts,Women",armygreen,M,50,2,0,138,50,1,CN,Pure Fashion,96838,4.264658501827795,0,4,"['blouse', 'Summer', 'Shorts', 'Sleeve', 'fashiontee', 'Tops', 'slim', 'short sleeves', 'Pullovers', ""Women's Fashion"", 'Plus Size', 'Summer Fashion', 'Cotton', 'Fashion', 'Casual', 'T Shirts', 'Women']"
New Ladies Fashion Summer Tank Tops Sexy Backless Shirts Summer Vest Tops,5.71,5,1000,0,3.75,678,290.0,145.0,145.0,61.0,78.0,0,0,0,0,"Summer,Vest,Fashion,Tank,Shirt,backless top,summer shirt,topsamptshirt,tank top,Ladies,Sleeveless Shirt,backless,V-neck,solid color,sexy,summervest,Tops,Women Fashion,Ladies Fashion",black,XXS,19,2,0,43,50,0,CN,sjhdstoer,80093,4.006692220293909,0,9,"['Summer', 'Vest', 'Fashion', 'Tank', 'Shirt', 'backless top', 'summer shirt', 'topsamptshirt', 'tank top', 'Ladies', 'Sleeveless Shirt', 'backless', 'V-neck', 'solid color', 'sexy', 'summervest', 'Tops', 'Women Fashion', 'Ladies Fashion']"
2018 Summer Fashion Women Casual Camouflage Tank Top Sleeveless O-neck Vest,9.0,32,1000,0,4.15,567,323.0,116.0,116.0,28.0,42.0,0,0,0,0,"Summer,Vest,Fashion,Tank,Slim T-shirt,camouflage,Tops,camouflagevest,tank top,Cool T-Shirts,Women's Fashion,sleeveless tops,Women,Casual T-Shirt,Casual Tops,Military,Casual,sleeveless,t",armygreen,M,50,3,0,41,50,0,CN,terbuer,9395,4.1100585417775415,0,3,"['Summer', 'Vest', 'Fashion', 'Tank', 'Slim T-shirt', 'camouflage', 'Tops', 'camouflagevest', 'tank top', 'Cool T-Shirts', ""Women's Fashion"", 'sleeveless tops', 'Women', 'Casual T-Shirt', 'Casual Tops', 'Military', 'Casual', 'sleeveless', 't']"
New Women Lace Crochet Bikini Cover Up Swimwear Bathing Suit Summer Swimwear,9.0,9,1000,0,4.03,216,105.0,48.0,48.0,12.0,12.0,0,0,0,0,"Summer,midsleevebeachblouse,summerswimsuit,womensummerswimwear,crochet,Cover,womenbeachblouse,Swimsuit,Bikini,beachblouse,Swimwear,bikinibeachcoverup,Women,women fashion dress,women bathing suit,budsilkblouse,Suits,Women's Fashion,Lace",no_color,M,5,3,0,60,50,0,US,coaluss,4298,4.22940902745463,0,1,"['Summer', 'midsleevebeachblouse', 'summerswimsuit', 'womensummerswimwear', 'crochet', 'Cover', 'womenbeachblouse', 'Swimsuit', 'Bikini', 'beachblouse', 'Swimwear', 'bikinibeachcoverup', 'Women', 'women fashion dress', 'women bathing suit', 'budsilkblouse', 'Suits', ""Women's Fashion"", 'Lace']"
" Spring/Summer Fashion Women ""honey""Letter Print Sleeveless Shirt Sexy Embroidered Bodycon Vest Knitted Cotton Vest Casual Tank Top ",5.65,5,20000,0,4.29,2996,1781.0,628.0,628.0,104.0,109.0,1,0,1,0,"Women Vest,Vest,Fashion,yoga top,low cut,Women's Fashion,off shoulder,sportwear,sleeveless,sexy,Casual,sexyvest,knitted,Tank,Shirt,Tops,Slim Fit,beach wear,soildcolor,Women,Print,Lace Up,Cotton,tank top",white,S,50,2,0,43,50,1,CN,happyshoooping,40943,4.017487726839753,0,2,"['Women Vest', 'Vest', 'Fashion', 'yoga top', 'low cut', ""Women's Fashion"", 'off shoulder', 'sportwear', 'sleeveless', 'sexy', 'Casual', 'sexyvest', 'knitted', 'Tank', 'Shirt', 'Tops', 'Slim Fit', 'beach wear', 'soildcolor', 'Women', 'Print', 'Lace Up', 'Cotton', 'tank top']"
2020 New Fashion Summer Women Sleeveless Black White Pink Scalloped Trim Deep V Neck Lace Vest Solid Slim Tank Tops Tee,1.74,2,100,1,4.25,12,7.0,3.0,3.0,0.0,1.0,0,0,0,0,"pink,Vest,Fashion,Lace,Summer,outweartop,slim,tank top,Women's Fashion,sleeveless tops,summerwomentop,Women,Deep V-Neck,Tank,Necks,Women Fashion,lace top,Tops,lace vest,black,blackwhitepink,scallopedtrimtop,sleeveless,white",pink,XS,50,1,0,41,50,0,CN,Memo2,18138,3.831513948616165,0,2,"['pink', 'Vest', 'Fashion', 'Lace', 'Summer', 'outweartop', 'slim', 'tank top', ""Women's Fashion"", 'sleeveless tops', 'summerwomentop', 'Women', 'Deep V-Neck', 'Tank', 'Necks', 'Women Fashion', 'lace top', 'Tops', 'lace vest', 'black', 'blackwhitepink', 'scallopedtrimtop', 'sleeveless', 'white']"
4 Color Women's Fashion Casual Solid Color tops Sleeveless Sheath Summer Fashion Plus Size Brief Pullover Strapless Short Cotton Tunic Top Crop Top,5.65,6,1000,0,4.06,301,156.0,70.0,70.0,18.0,23.0,0,0,0,0,"Summer,strapless,Plus Size,tunic,tunic top,Tops,Shorts,slim fit shirt,Women's Fashion,Fashion,topsamptee,women tank top,solid color,sleeveless,Pullovers,Casual,Cotton",white,XXL,50,2,0,54,50,0,CN,meiximeiyo,7034,4.060278646573784,0,2,"['Summer', 'strapless', 'Plus Size', 'tunic', 'tunic top', 'Tops', 'Shorts', 'slim fit shirt', ""Women's Fashion"", 'Fashion', 'topsamptee', 'women tank top', 'solid color', 'sleeveless', 'Pullovers', 'Casual', 'Cotton']"
HODMEXI Fashion Love Graffiti Print Summer Dress Short Sleeve Party Dresses Plus Size Women Clothing Vestidos,14.0,76,100,0,4.06,31,17.0,4.0,4.0,3.0,1.0,0,0,0,0,"Summer,Plus Size,Love,plus size dress,Dress,short sleeves,Women's Fashion,Party Dress,Graffiti,uniquedres,Clothing,Bodycon Dress,casual dress,Shorts,Sleeve,summer dress,Cotton Dress,Women Clothing,print dress,Print,party,Short Sleeved,Women,Fashion",no_color,S,50,4,0,36,50,1,CN,HOT DRESS,51369,3.9682688002491777,1,4,"['Summer', 'Plus Size', 'Love', 'plus size dress', 'Dress', 'short sleeves', ""Women's Fashion"", 'Party Dress', 'Graffiti', 'uniquedres', 'Clothing', 'Bodycon Dress', 'casual dress', 'Shorts', 'Sleeve', 'summer dress', 'Cotton Dress', 'Women Clothing', 'print dress', 'Print', 'party', 'Short Sleeved', 'Women', 'Fashion']"
Sweet Beading Cami Tank Tops for Women Spaghetti Strap Summer Vest Tops,5.65,6,1000,1,4.37,217,137.0,42.0,42.0,9.0,5.0,1,0,1,0,"tank top women,Vest,Beading,Cotton Shirt,camisole,Women Vest,Sweets,Tops,Spaghetti Strap,Women's Fashion,Spaghetti,Cami,Summer,Bandages,Tank,Women,Cool Tees,Shirt",black,XXS,10,2,0,38,50,0,CN,New Fashion Shopping Park,44837,4.065905390637197,0,1,"['tank top women', 'Vest', 'Beading', 'Cotton Shirt', 'camisole', 'Women Vest', 'Sweets', 'Tops', 'Spaghetti Strap', ""Women's Fashion"", 'Spaghetti', 'Cami', 'Summer', 'Bandages', 'Tank', 'Women', 'Cool Tees', 'Shirt']"
Summer Women Sling Dresses Casual Backless Dress Ladies Floral Printed Dress Swallowtail Dresses Slim Beach Dress,8.0,7,1000,0,3.81,443,215.0,76.0,76.0,29.0,58.0,0,0,0,0,"Summer,camisole,chiffon,Dress,slim,beach dress,Ladies,Women's Fashion,backless,printed,Floral,Robes,Beach,Casual,Women",khaki,S,4,2,0,46,50,0,CN,Kallyett,3460,3.8708092485549135,0,2,"['Summer', 'camisole', 'chiffon', 'Dress', 'slim', 'beach dress', 'Ladies', ""Women's Fashion"", 'backless', 'printed', 'Floral', 'Robes', 'Beach', 'Casual', 'Women']"
Solid Color T-shirts Bandeau Yoga Vest Off Shoulder Women Strapless Bra Tube Crop Top,2.66,3,5000,0,3.44,1136,418.0,187.0,187.0,133.0,197.0,0,0,0,0,"Vest,Fashion,Yoga,SEXY CROP TOP,girl bra,Tops,strapless,topbra,Tee,Women's Fashion,straplesstanktop,T Shirts,Casual,Bras,Women",black,M,50,1,0,22,50,0,CN,Faringoto,223392,4.3063628061882255,0,1,"['Vest', 'Fashion', 'Yoga', 'SEXY CROP TOP', 'girl bra', 'Tops', 'strapless', 'topbra', 'Tee', ""Women's Fashion"", 'straplesstanktop', 'T Shirts', 'Casual', 'Bras', 'Women']"
Women Fashion Vest Plus Size Loose Casual Pure Color Lace Sleeveless Camisole Summer Tank Tops,9.0,8,10000,0,3.8,1231,555.0,240.0,240.0,87.0,138.0,0,0,0,0,"Summer,Vest,Plus Size,Tank,Lace,Tops,Loose,beach wear,Women's Fashion,Pure Color,sleeveless,Fashion,Casual,Women Fashion,Women",yellow,S,50,3,0,45,50,0,CN,Sangboo Store,10600,3.8675471698113206,0,8,"['Summer', 'Vest', 'Plus Size', 'Tank', 'Lace', 'Tops', 'Loose', 'beach wear', ""Women's Fashion"", 'Pure Color', 'sleeveless', 'Fashion', 'Casual', 'Women Fashion', 'Women']"
Floral Print Cold Shoulder Ruffled Summer Short Sleeve Flowy Blouse Plus Size Sexy Tops,11.0,10,1000,0,4.16,274,162.0,47.0,47.0,10.0,21.0,1,0,1,0,"blouse,Summer,Plus Size,Floral print,ruffled,Sleeve,Tops,sexyblouse,short sleeves,Floral,Women's Fashion,Shorts,Print,sexy,Fashion",white,S,50,3,0,31,50,0,CN,Lin Fashion Store,13946,4.000143410296859,0,4,"['blouse', 'Summer', 'Plus Size', 'Floral print', 'ruffled', 'Sleeve', 'Tops', 'sexyblouse', 'short sleeves', 'Floral', ""Women's Fashion"", 'Shorts', 'Print', 'sexy', 'Fashion']"
Summer fashion female butterfly tank vest sleeveless round neck casual top,8.0,17,100,1,2.75,8,2.0,0.0,0.0,0.0,3.0,0,0,0,0,"butterflyprint,Vest,Plus Size,Necks,Tops,Spaghetti Strap,tank top,Casual,Round neck,Fashion,sleeveless tops,Casual Tops,summervest,womens vest",blue,S,50,3,0,40,50,0,CN,Unnistore,47981,4.025364206665138,0,2,"['butterflyprint', 'Vest', 'Plus Size', 'Necks', 'Tops', 'Spaghetti Strap', 'tank top', 'Casual', 'Round neck', 'Fashion', 'sleeveless tops', 'Casual Tops', 'summervest', 'womens vest']"
